#
# Local infill LHS points around the failed GA verification point
# The parameters defined in the project are:
#           P1 - length P2 - width P3 - thickness P4 - height
#
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4
INFILL 0,0.02295233406446209,0.021814669174459508,0.0037637872998442534,0.020072631673025754
INFILL 1,0.021249863248675952,0.02072585063560718,0.003816465294304463,0.02029134456673353
INFILL 2,0.020279003637543827,0.021091907374905065,0.003691201694836836,0.021937576402676337
INFILL 3,0.02075396316157419,0.020522537212815002,0.0035917161184562878,0.021385462706771653
INFILL 4,0.02270253286815493,0.022144683858535,0.003861273703744356,0.020568400544210705
INFILL 5,0.02199741192317268,0.022314913767648832,0.003950406494829045,0.020745650930882674
INFILL 6,0.021670917280936397,0.020433286710115527,0.004022597391821103,0.021189487096211067
INFILL 7,0.022510627362538383,0.02007606825122181,0.0036252514165164246,0.02216779766421579
INFILL 8,0.02149573588539579,0.021591089670551632,0.003734461321058761,0.021874526873819772
INFILL 9,0.02059842511829265,0.021325830817705775,0.003938108351245558,0.0215192446412762
