length,width,thickness,height,FOS
0.02,0.02,0.002,0.02,0.4102643549
0.02289,0.032468,0.003204,0.049191,0.879352778
0.041562,0.035307,0.002667,0.038964,0.7610936122
0.033949,0.029465,0.004239,0.037722,1.908912916
0.029742,0.048853,0.004657,0.034032,1.942333321
0.052978,0.036781,0.004435,0.045311,2.340138664
0.059697,0.027394,0.002751,0.032332,1.096123809
0.046889,0.024142,0.003006,0.033787,1.231085715
0.036738,0.031195,0.002428,0.04551,0.740765395
0.05107,0.036989,0.004386,0.036743,2.146190422
0.058348,0.039657,0.003103,0.037199,1.224516377
0.051425,0.02785,0.004289,0.044506,2.27918137
0.026867,0.024559,0.004538,0.049014,2.153023217
0.057727,0.028358,0.002594,0.025098,0.8665410261
0.042885,0.032701,0.004679,0.035666,2.321200441
0.053816,0.039029,0.003466,0.048466,1.352476932
0.047333,0.048659,0.004473,0.026071,2.044965382
0.055746,0.043534,0.002493,0.037009,0.8372680608
0.045588,0.033069,0.003674,0.043577,1.676158395
0.047659,0.04543,0.003768,0.048116,1.595695885
0.059083,0.047101,0.003933,0.041065,1.875795336
0.048934,0.022278,0.003236,0.02235,1.277569708
0.021991,0.028973,0.004618,0.021661,2.077633366
0.054335,0.03575,0.002175,0.035391,0.6428148343
0.035022,0.033686,0.002261,0.026711,0.6283519706
0.041855,0.023574,0.003796,0.020611,1.80202382
0.039637,0.04799,0.003132,0.043109,1.006444404
0.046488,0.044985,0.002107,0.027418,0.5130666825
0.024761,0.026329,0.003996,0.044839,1.53520697
0.032278,0.027026,0.004845,0.039543,2.255742208
0.040497,0.022784,0.002317,0.047112,0.779607268
0.020966,0.034205,0.003527,0.030675,1.067993765
0.055183,0.045652,0.00328,0.038557,1.357481814
0.057559,0.036024,0.004125,0.020322,1.873372831
0.051768,0.025896,0.003872,0.040693,1.976718268
0.037617,0.031555,0.004917,0.029275,2.705275186
0.024205,0.039353,0.003622,0.038128,1.038393416
0.035811,0.04302,0.00214,0.042644,0.5150767145
0.038624,0.043394,0.004945,0.046431,2.318816631
0.034744,0.046534,0.003587,0.028498,1.300591446
0.041088,0.040202,0.003418,0.049769,1.264247214
0.056757,0.049125,0.003373,0.048789,1.233031158
0.030178,0.020489,0.003595,0.032058,1.219929734
0.035473,0.044014,0.002741,0.030345,0.7556965351
0.025498,0.025119,0.002805,0.030187,0.8912723897
0.037426,0.029902,0.004133,0.027575,1.856758725
0.045644,0.031732,0.002824,0.041805,1.054117899
0.028891,0.029102,0.004029,0.031972,1.583416843
0.022501,0.046321,0.004042,0.040928,1.211052454
0.020751,0.042551,0.003555,0.022946,1.055808381
0.04456,0.044638,0.002864,0.022007,0.9754153342
0.039289,0.024208,0.003155,0.042157,1.25722188
0.054794,0.046931,0.002716,0.026397,0.8414670916
0.038351,0.049848,0.003689,0.024626,1.316247544
0.03432,0.036259,0.004859,0.040178,2.390178613
0.021548,0.028663,0.003832,0.046881,1.37400435
0.05348,0.032153,0.00333,0.044013,1.499638342
0.027885,0.037423,0.002539,0.033333,0.6536553765
0.052546,0.046068,0.004276,0.035174,1.952458381
0.048414,0.047721,0.002452,0.038659,0.7299087988
0.032613,0.021565,0.002389,0.021467,0.6825627158
0.042468,0.041361,0.004603,0.028841,2.231171888
0.049358,0.02304,0.003812,0.025576,1.962033485
0.05625,0.024972,0.00204,0.03114,0.644149142
0.040218,0.042126,0.002233,0.023976,0.6000570846
0.025673,0.044568,0.002658,0.039922,0.6680145238
0.028742,0.020653,0.003311,0.046357,1.191918533
0.023232,0.04755,0.004511,0.028054,1.525506971
0.045154,0.040694,0.003978,0.034648,1.653300104
0.020379,0.040823,0.00207,0.047782,0.3660554201
0.050673,0.025549,0.003024,0.026945,1.25825011
0.050383,0.030446,0.004783,0.039425,2.623290868
0.048172,0.029775,0.002569,0.034288,0.8625020389
0.04419,0.022669,0.004195,0.025384,2.10481928
0.03323,0.04127,0.002395,0.029629,0.6268439307
0.022008,0.020059,0.003477,0.028207,0.9415300569
0.036888,0.02206,0.002614,0.021046,0.8740915455
0.030457,0.038161,0.003188,0.042908,1.038396849
0.029493,0.041858,0.002916,0.032775,0.8755607455
0.031507,0.02109,0.004419,0.023802,1.694156009
0.043448,0.023694,0.004991,0.024215,2.742084493
0.056833,0.021356,0.0022,0.036339,0.7002372547
0.028061,0.030904,0.002966,0.02014,0.9331058662
0.030947,0.038514,0.004078,0.045139,1.587474205
0.058522,0.026642,0.002356,0.025816,0.8494916884
0.026362,0.037782,0.002957,0.023319,0.8570281515
0.033145,0.049412,0.003896,0.043822,1.238181938
0.055287,0.034461,0.004702,0.049624,2.569894515
0.027364,0.043971,0.002882,0.041549,0.7448643065
0.038974,0.034828,0.004566,0.022543,2.1456461
0.031694,0.03866,0.003395,0.02942,1.203302289
0.042028,0.035264,0.004366,0.031074,1.951733603
0.024937,0.037274,0.002277,0.034799,0.5211217661
0.052267,0.03983,0.003057,0.042419,1.210276021
0.036254,0.026206,0.003735,0.036156,1.621866996
0.023626,0.042369,0.004809,0.037481,1.754375961
0.049779,0.027519,0.004737,0.033056,2.700084137
0.046249,0.033204,0.004168,0.045815,1.930331262
0.059553,0.030545,0.002011,0.023263,0.6001846946
0.026565,0.033894,0.00434,0.047464,1.83760766
0.04367,0.048411,0.004896,0.031567,2.243839721
0.023368,0.021701,0.003631,0.021193,1.33194281
0.024472,0.02293,0.003951,0.024098,1.68938911
0.023862,0.021474,0.003923,0.021591,1.436024894
0.021007,0.02229,0.00383,0.023324,1.447878277
0.024634,0.023361,0.003453,0.021433,1.264753636
0.025173,0.024195,0.004211,0.020699,1.939140892
0.021266,0.023556,0.004054,0.021115,1.656600425
0.020854,0.021196,0.004176,0.020232,1.428955581
0.022002,0.022617,0.003694,0.022882,1.406255541
0.025961,0.021918,0.003795,0.021874,1.549201863
0.024069,0.024313,0.003863,0.020155,1.559790454
0.02245,0.022069,0.004013,0.02061,1.556552171
0.021595,0.020869,0.003571,0.022248,1.143815935
0.024864,0.0203,0.004133,0.024324,0.9925053528
0.020162,0.020547,0.003439,0.024024,1.066127989
0.022799,0.022819,0.004095,0.023653,1.699891157
0.02311,0.0201,0.00351,0.023082,1.055783262
0.025691,0.021027,0.00339,0.023508,1.193522
0.022144,0.023997,0.003757,0.022412,1.44602875
0.020512,0.023676,0.0036,0.022524,1.280520621
0.02,0.02,0.003805,0.02,0.8501427687
0.022952,0.021815,0.003764,0.020073,1.42445508
0.02125,0.020726,0.003816,0.020291,1.229170886
0.020279,0.021092,0.003691,0.021938,1.179004034
0.020754,0.020523,0.003592,0.021385,1.088913105
0.022703,0.022145,0.003861,0.020568,1.466474712
0.021997,0.022315,0.00395,0.020746,1.5364829
0.021671,0.020433,0.004023,0.021189,1.110488676
0.022511,0.020076,0.003625,0.022168,0.9635676737
0.021496,0.021591,0.003734,0.021875,1.300500755
0.020598,0.021326,0.003938,0.021519,1.378281456
