#
# LHS design points generated in Python
# The parameters defined in the project are:
#           P1 - length P2 - width P3 - thickness P4 - height
#
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4
DP 0,0.022890417580577613,0.032468336468074385,0.0032042420624026585,0.04919078959128219
DP 1,0.041562329060844935,0.03530731329450897,0.0026671658089402893,0.038964180708416916
DP 2,0.03394875454692978,0.029464884218631332,0.004238876059273023,0.037721970503345414
DP 3,0.029742453951967732,0.048853171516018756,0.00465669757403518,0.034031828383464566
DP 4,0.052978166085193665,0.03678085482316875,0.004435171064840223,0.045310500680263384
DP 5,0.059696764903965846,0.02739364220956104,0.002750879059268153,0.03233206366360335
DP 6,0.046888646601170494,0.02414160838764441,0.003005998369888189,0.033786858870263836
DP 7,0.036738284203172974,0.031195085314027267,0.0024276571353227657,0.04550974708026974
DP 8,0.051069669856744736,0.036988862088189536,0.004385913325661726,0.03674315859227471
DP 9,0.058348031397865804,0.039657288522132225,0.0031031927195284735,0.03719905580159524
DP 10,0.05142513923245107,0.027850196541182648,0.004288992046939933,0.044506290007585395
DP 11,0.02686709607944192,0.02455857069275096,0.004538375648629095,0.049013501568820936
DP 12,0.057727001798410005,0.02835807425491721,0.002594002753925747,0.0250977913190747
DP 13,0.042885230248999144,0.03270054474302239,0.00467884503864121,0.03566578129069341
DP 14,0.05381643368978466,0.039029377641214134,0.00346580609005617,0.048465640977939206
DP 15,0.04733263881528381,0.04865867113815706,0.004473042916805564,0.026070500342775194
DP 16,0.05574611267199976,0.043533926179802604,0.0024932237851776375,0.037008814970581214
DP 17,0.045587672866172824,0.033068984783230296,0.003673562459815414,0.04357744140688261
DP 18,0.04765863877069273,0.0454298181542404,0.003768250917749328,0.04811558483239341
DP 19,0.05908256249689332,0.04710142504558193,0.003933289035429761,0.04106483053726808
DP 20,0.048934274583869036,0.02227808394156798,0.003235579388460019,0.02234990812402769
DP 21,0.021990915170746455,0.02897298564176731,0.004618329219482107,0.021661436830924585
